file	line	reference	status
analysis/allosteric_orthosteric_preprocessing_v1/scripts/build_uncontrolled_allosteric_orthosteric.py	38	18.Structure_known/4.Evaluate_Orthosteric_LowScore_Enrichment.py	dynamic_or_external_source_reference
analysis/allosteric_orthosteric_preprocessing_v1/scripts/build_uncontrolled_allosteric_orthosteric.py	51	analysis/kinetic_allostery_model_v1/scripts/extract_k03_brenda_parameters.py	exact_path_included
analysis/allosteric_orthosteric_preprocessing_v1/scripts/finalize_uncontrolled_package.py	35	*.py	dynamic_or_external_source_reference
analysis/kinetic_allostery_model_v1/scripts/extract_k03_brenda_parameters.py	1447	validate_k03_brenda_parameters.py	basename_included_path_resolution_not_proven
analysis/kinetic_allostery_model_v1/scripts/validate_k03_brenda_parameters.py	82	scripts/extract_k03_brenda_parameters.py	basename_included_path_resolution_not_proven
analysis/new_pairing_control_ladder/scripts/build_broad_structure_graphs.py	31	scripts/build_structure_graphs.py	basename_included_path_resolution_not_proven
analysis/new_pairing_control_ladder/scripts/train_control_ladder.py	43	analysis/new_pairing_d1_pilot/scripts/train_family_model_pilot.py	exact_path_included
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	27	scripts/build_aligned_target_chains.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	27	scripts/prepare_cpu_release.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	28	scripts/validate_target_chain_embeddings.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	28	scripts/embed_target_chains_gpu.sh	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	29	scripts/prepare_exact_gpu_inputs.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	30	scripts/train_main_benchmark.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	30	scripts/aggregate_main_results.py	basename_included_path_resolution_not_proven
analysis/allosteric_pair_benchmark_main/scripts/write_release_manifest.py	31	scripts/bootstrap_oof.py	basename_included_path_resolution_not_proven
